Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,Group,AdjTime,NounTime,NPTime,AudioDur
lock.png,shortladder.png,shortjar.png,talljar.png,shortjar.mp3,3,critical competitor,B,920,1621,920,2153
bigburger.png,mittens.png,smallbowl.png,bigbowl.png,bigbowl.mp3,4,critical competitor,B,1027,1405,1027,1948
bigpotato.png,smallpotato.png,tissues.png,bigtruck.png,bigpotato.mp3,1,critical competitor,B,890,1302,890,1943
smallhouse.png,bighouse.png,bigmountain.png,umbrella.png,bighouse.mp3,2,critical competitor,B,969,1309,969,1980
earmuffs.png,fireplace.png,bigcanoe.png,smallcanoe.png,bigcanoe.mp3,3,critical,B,893,1271,893,1735
dustpan.png,cheesegrater.png,smalllightbulb.png,biglightbulb.png,biglightbulb.mp3,4,critical,B,998,1414,998,2189
smallcrab.png,bigcrab.png,backpack.png,smallskateboard.png,smallcrab.mp3,1,critical competitor,B,987,1727,987,2308
bigrazor.png,smallrazor.png,smallwhisk.png,cd.png,smallrazor.mp3,2,critical competitor,B,898,1484,898,2175
fence.png,binoculars.png,smallkey.png,bigkey.png,smallkey.mp3,3,critical,B,980,1740,980,2144
smallclipboard.png,easel.png,bigspider.png,smallspider.png,smallspider.mp3,4,critical competitor,B,838,1487,838,2127
smalldesk.png,bigdesk.png,caterpillar.png,flipflops.png,smalldesk.mp3,1,critical,B,1031,1716,1031,1540
bigtrophy.png,smalltrophy.png,rock.png,grapes.png,smalltrophy.mp3,2,critical,B,847,1524,847,2130
avocado.png,thickbook.png,thickpaintbrush.png,thinpaintbrush.png,thickpaintbrush.mp3,3,critical competitor,B,821,1430,821,2232
onion.png,fan.png,thinburrito.png,thickburrito.png,thickburrito.mp3,4,critical,B,961,1585,961,2179
thickmustache.png,thinmustache.png,xylophone.png,bowlingball.png,thickmustache.mp3,1,critical,B,874,1363,874,2275
shortflamingo.png,tallflamingo.png,tallhat.png,domino.png,tallflamingo.mp3,2,critical competitor,B,880,1293,880,2051
